Tag,Word,Freq,Pos,Neg,Neu
PEER,male colleagues,0.0002774694783573807,0.0,0.5,0.5
PEER,friends prefer,0.0002774694783573807,0.0,0.0,1.0
PEER,use like,0.000832408435072142,0.16666666666666666,0.6666666666666666,0.16666666666666666
PEER,study group,0.0009711431742508325,0.0,0.2857142857142857,0.7142857142857143
PEER,anyone else,0.0002774694783573807,0.5,0.5,0.0
PEER,sit next,0.0002774694783573807,0.0,1.0,0.0
PEER,really well,0.0002774694783573807,0.5,0.5,0.0
PEER,computer science,0.0005549389567147614,0.25,0.75,0.0
PEER,science classes,0.0002774694783573807,0.5,0.5,0.0
PEER,women tend,0.0002774694783573807,0.5,0.5,0.0
PEER,side projects,0.0002774694783573807,1.0,0.0,0.0
PEER,projects really,0.0002774694783573807,0.0,1.0,0.0
PEER,never seen,0.0002774694783573807,0.5,0.5,0.0
PEER,stem major,0.0002774694783573807,0.0,0.5,0.5
PEER,programming language,0.0002774694783573807,0.0,0.0,1.0
PEER,one time,0.0002774694783573807,0.5,0.0,0.5
PEER,engineering class,0.0002774694783573807,0.0,1.0,0.0
PEER,programming experience,0.0002774694783573807,0.5,0.5,0.0
PEER,one project,0.0002774694783573807,0.0,1.0,0.0
PEER,leadership position,0.0002774694783573807,0.0,1.0,0.0
PEER,fell back,0.0002774694783573807,0.0,1.0,0.0
PEER,could help,0.0002774694783573807,0.5,0.5,0.0
PEER,one task,0.0002774694783573807,0.0,1.0,0.0
PEER,one really,0.0002774694783573807,0.0,1.0,0.0
PEER,never really,0.0002774694783573807,0.0,1.0,0.0
PEER,really heard,0.0002774694783573807,0.0,1.0,0.0
PEER,heard back,0.0002774694783573807,0.0,1.0,0.0
PEER,group projects,0.000416204217536071,0.3333333333333333,0.6666666666666666,0.0
PEER,past year,0.0002774694783573807,0.0,1.0,0.0
PEER,would also,0.0002774694783573807,0.0,0.5,0.5
PEER,hang around,0.0002774694783573807,0.5,0.0,0.5
PEER,level classes,0.0002774694783573807,1.0,0.0,0.0
PEER,earn respect,0.0002774694783573807,0.0,0.5,0.5
PEER,really help,0.000416204217536071,0.6666666666666666,0.3333333333333333,0.0
PEER,exam grades,0.0002774694783573807,0.5,0.5,0.0
PEER,go suck,0.000416204217536071,0.0,1.0,0.0
PEER,junior year,0.0002774694783573807,0.0,1.0,0.0
PEER,working together,0.0002774694783573807,0.0,0.0,1.0
PEER,always like,0.0002774694783573807,0.0,0.5,0.5
PEER,group project,0.000416204217536071,0.3333333333333333,0.6666666666666666,0.0
PEER,work together,0.0002774694783573807,0.0,1.0,0.0
PEER,lab partners,0.0002774694783573807,0.5,0.0,0.5
PEER,actual work,0.0002774694783573807,0.0,0.0,1.0
PEER,fall behind,0.0002774694783573807,1.0,0.0,0.0
PEER,would always,0.0002774694783573807,0.0,1.0,0.0
PEER,would finish,0.0002774694783573807,0.0,1.0,0.0
PEER,really early,0.0002774694783573807,0.0,1.0,0.0
PEER,students complain,0.0002774694783573807,1.0,0.0,0.0
PEER,student asked,0.000416204217536071,0.0,1.0,0.0
PEER,say yeah,0.0002774694783573807,1.0,0.0,0.0
PEER,skin color,0.0002774694783573807,0.0,1.0,0.0
PEER,really come,0.0002774694783573807,0.0,0.5,0.5
STERM,would say,0.0011933174224343676,0.2,0.4,0.4
STERM,like like,0.00047732696897374703,0.0,1.0,0.0
STERM,white male,0.00047732696897374703,0.0,1.0,0.0
STERM,like people,0.00047732696897374703,0.0,0.5,0.5
STERM,put majors,0.00047732696897374703,0.0,1.0,0.0
STERM,oh yeah,0.00047732696897374703,0.0,0.0,1.0
STERM,chemical engineering,0.0007159904534606205,0.0,0.0,1.0
STERM,even know,0.00047732696897374703,0.0,0.5,0.5
STERM,definitely gotten,0.00047732696897374703,0.0,0.5,0.5
STERM,mechanical engineering,0.00047732696897374703,0.0,0.0,1.0
STERM,really hard,0.00047732696897374703,0.0,0.5,0.5
STERM,know like,0.0007159904534606205,0.0,1.0,0.0
STERM,socially awkward,0.00047732696897374703,0.0,1.0,0.0
STERM,seem like,0.00047732696897374703,0.5,0.5,0.0
STERM,see people,0.00047732696897374703,0.0,1.0,0.0
STERM,affirmative action,0.00047732696897374703,0.0,1.0,0.0
STERM,action kid,0.00047732696897374703,0.0,1.0,0.0
STERM,big thing,0.00047732696897374703,0.0,1.0,0.0
STERM,person like,0.00047732696897374703,0.0,1.0,0.0
STERM,like okay,0.00047732696897374703,0.0,1.0,0.0
STERM,like one,0.00047732696897374703,0.0,0.5,0.5
STERM,feel like,0.0011933174224343676,0.0,0.8,0.2
STERM,seems like,0.0007159904534606205,0.0,1.0,0.0
STERM,different things,0.0007159904534606205,0.3333333333333333,0.6666666666666666,0.0
STERM,study alone,0.00047732696897374703,0.0,0.0,1.0
STERM,gender thing,0.00047732696897374703,0.0,0.5,0.5
STERM,friends prefer,0.00047732696897374703,0.0,0.0,1.0
STERM,use like,0.0007159904534606205,0.0,0.3333333333333333,0.6666666666666666
STERM,person likes,0.00047732696897374703,0.0,1.0,0.0
STERM,really know,0.00047732696897374703,0.0,1.0,0.0
STERM,computer science,0.0016706443914081145,0.0,0.7142857142857143,0.2857142857142857
STERM,science student,0.00047732696897374703,0.0,1.0,0.0
STERM,biggest assumption,0.00047732696897374703,0.0,0.5,0.5
STERM,independent thinking,0.00047732696897374703,0.0,1.0,0.0
STERM,side projects,0.00047732696897374703,0.5,0.5,0.0
STERM,many spanish,0.0009546539379474941,0.0,1.0,0.0
STERM,spanish people,0.0011933174224343676,0.0,1.0,0.0
STERM,one says,0.00047732696897374703,0.0,1.0,0.0
STERM,unspoken thing,0.00047732696897374703,0.0,1.0,0.0
STERM,high school,0.00047732696897374703,0.0,0.0,1.0
STERM,dr laberge,0.00047732696897374703,1.0,0.0,0.0
STERM,math science,0.00047732696897374703,0.0,0.5,0.5
STERM,get teachers,0.00047732696897374703,0.0,1.0,0.0
STERM,typical computer,0.00047732696897374703,0.0,1.0,0.0
STERM,free time,0.00047732696897374703,0.0,1.0,0.0
STERM,typical student,0.0011933174224343676,0.2,0.6,0.2
STERM,compsci class,0.0007159904534606205,0.3333333333333333,0.3333333333333333,0.3333333333333333
STERM,game developers,0.00047732696897374703,1.0,0.0,0.0
STERM,typical students,0.00047732696897374703,0.0,0.5,0.5
STERM,technical clubs,0.00047732696897374703,0.0,0.5,0.5
